strategy,model,threshold_mode,features,train_sources,test_source,accuracy_mean,accuracy_std,precision_weighted_mean,precision_weighted_std,recall_weighted_mean,recall_weighted_std,f1_weighted_mean,f1_weighted_std,recall_very_high_mean,recall_very_high_std,precision_very_high_mean,precision_very_high_std,f1_very_high_mean,f1_very_high_std
rule,multinomial_lr,youden_val,ctx,kaggle+stanford_msa,mother_jones,0.20636942675159237,0.05263937200355258,0.15793667498892655,0.07267609635271816,0.20636942675159237,0.05263937200355258,0.1284061223861658,0.03592570141643766,0.21428571428571427,0.22015764296317772,0.1163682864450128,0.13722378958271286,0.12757551946918108,0.12096414345682825
rule,multinomial_lr,youden_val,ctx,mother_jones+stanford_msa,kaggle,0.36698412698412697,0.014991389146816001,0.7747746443476282,0.011869799453841217,0.36698412698412697,0.014991389146816001,0.452402523114806,0.011676314729665384,0.25263157894736843,0.16392012107786777,0.13647860593512767,0.11005103558975612,0.13336270539496348,0.024682982160168326
rule,multinomial_lr,youden_val,full,kaggle+mother_jones,stanford_msa,0.6095808383233533,0.06561601126568568,0.7861364207362873,0.021312089135225854,0.6095808383233533,0.06561601126568566,0.6668979239505918,0.046295141274016745,0.09333333333333334,0.0760116950066092,0.06866351138156412,0.04609731947185662,0.07772727272727273,0.05506799370061709
rule,multinomial_lr,youden_val,full,kaggle+stanford_msa,mother_jones,0.25605095541401274,0.02400183908460735,0.28691909838031693,0.13554191788466796,0.25605095541401274,0.02400183908460735,0.17949555351648905,0.015240721312498023,0.42857142857142855,0.14285714285714288,0.16829804998922646,0.03208405470716253,0.23275629722632635,0.039040289701978745
rule,multinomial_lr,youden_val,full,mother_jones+stanford_msa,kaggle,0.4946031746031746,0.04996345351177077,0.7652135900920458,0.017735972307923037,0.4946031746031746,0.04996345351177077,0.5645777466098734,0.04916323385498599,0.3684210526315789,0.16222142113076254,0.15454486474972945,0.04082851788569208,0.20411743111552583,0.028894325908165517
rule,naive_bayes,default,ctx,kaggle+mother_jones,stanford_msa,0.12994011976047903,0.0016398878967220705,0.8218406477089111,0.001325635208865334,0.12994011976047903,0.0016398878967220705,0.15901504328335664,0.0006067063462533751,0.96,0.036514837167011045,0.06305916305916306,0.011460284392243737,0.1180823915421072,0.02001793160404408
rule,naive_bayes,default,ctx,kaggle+stanford_msa,mother_jones,0.09554140127388536,0.0,0.033227501949412985,0.0011578479478305688,0.09554140127388536,0.0,0.026462399541937902,0.0025471114754196506,0.9857142857142858,0.03194382824999699,0.0921032199132222,0.0013685001552179589,0.16846197827329903,0.002761524774956869
rule,naive_bayes,default,ctx,mother_jones+stanford_msa,kaggle,0.12698412698412698,0.0,0.7490423280423281,0.0,0.12698412698412698,0.0,0.14790050005523633,0.0,0.2631578947368421,0.0,0.043859649122807015,0.0,0.07518796992481203,0.0
rule,naive_bayes,default,full,kaggle+mother_jones,stanford_msa,0.3077844311377246,0.16070901387876133,0.8162532179173315,0.0064262374344062935,0.3077844311377246,0.16070901387876133,0.3792905309310143,0.20047638273720106,0.96,0.036514837167011045,0.06305916305916306,0.011460284392243737,0.1180823915421072,0.02001793160404408
rule,naive_bayes,default,full,kaggle+stanford_msa,mother_jones,0.11082802547770701,0.003488678710223987,0.11230021331689466,0.01578863498398904,0.11082802547770701,0.003488678710223987,0.06990770320356085,0.005196821253615117,0.7857142857142857,0.0,0.09259364762854294,0.0003503311173977728,0.16566416040100249,0.0005604180394736297
rule,naive_bayes,default,full,mother_jones+stanford_msa,kaggle,0.16507936507936508,0.031983240761285545,0.7576032078905695,0.0067595072944869215,0.16507936507936508,0.031983240761285545,0.19393251841210046,0.047919127913827846,0.5263157894736842,0.1341847240419154,0.05381778594297106,0.009012936986343274,0.09758157380923224,0.017020978851296952
rule,naive_bayes,youden,ctx,kaggle+mother_jones,stanford_msa,0.1275449101796407,0.004540643978473988,0.8214972464089982,0.0005340263662651125,0.1275449101796407,0.004540643978473988,0.15950049932641588,0.0009171137076765436,0.5466666666666666,0.19663841605003501,0.06003241387030188,0.018482518449978096,0.10678926894895033,0.031314524095772935
rule,naive_bayes,youden,ctx,kaggle+stanford_msa,mother_jones,0.31719745222929935,0.08679731671902247,0.178073957386015,0.0828026077111201,0.31719745222929935,0.08679731671902247,0.21083830741256526,0.08798266142379309,0.12857142857142856,0.11736911946539273,0.1933333333333333,0.17701224063135668,0.15434782608695652,0.14096950292933458
rule,naive_bayes,youden,ctx,mother_jones+stanford_msa,kaggle,0.13206349206349205,0.0028394513999997323,0.7499914527703033,0.0003322963936502393,0.13206349206349205,0.0028394513999997323,0.149611397326496,0.000582022186789955,0.5578947368421052,0.10259783520851541,0.057836293974225,0.0027597885146871024,0.1046922028665443,0.006160146596083941
rule,naive_bayes,youden,full,kaggle+mother_jones,stanford_msa,0.41497005988023955,0.045337290374771,0.843699460588178,0.04266606165416263,0.41497005988023955,0.045337290374770974,0.5153042970992807,0.04529167358459896,0.5599999999999999,0.23851391759997756,0.06933667413821062,0.019490503975704586,0.12266790273321124,0.03657688472615377
rule,naive_bayes,youden,full,kaggle+stanford_msa,mother_jones,0.1872611464968153,0.04018295616710193,0.25039644962478913,0.16033880029927883,0.1872611464968153,0.04018295616710193,0.14581210560913793,0.02301109055136686,0.41428571428571426,0.11736911946539276,0.15246838025295797,0.03261906056368134,0.21371579591968287,0.02684784413526979
rule,naive_bayes,youden,full,mother_jones+stanford_msa,kaggle,0.37777777777777777,0.13148760272338245,0.7697569113174317,0.00977016993512013,0.37777777777777777,0.13148760272338245,0.4514068902273197,0.16470553932927776,0.28421052631578947,0.2824506918947103,0.12627329192546582,0.03485020051902421,0.14343704488282802,0.013432870131596565
