seed,strategy,model,threshold_mode,features,train_sources,test_source,accuracy,precision_weighted,recall_weighted,f1_weighted,recall_very_high,precision_very_high,f1_very_high
45,quartile,multinomial_lr,youden_val,full,kaggle+mother_jones,stanford_msa,0.38023952095808383,0.43008340685400354,0.38023952095808383,0.38247018295611934,0.6428571428571429,0.3068181818181818,0.4153846153846154
45,quartile,naive_bayes,default,full,mother_jones+stanford_msa,kaggle,0.346031746031746,0.32645369101704286,0.346031746031746,0.22439858467255727,0.17307692307692307,0.42857142857142855,0.2465753424657534
45,quartile,naive_bayes,default,full,kaggle+stanford_msa,mother_jones,0.5031847133757962,0.4695321998501139,0.5031847133757962,0.46453234998323834,0.7415730337078652,0.6534653465346535,0.6947368421052632
45,quartile,naive_bayes,default,full,kaggle+mother_jones,stanford_msa,0.38323353293413176,0.44895656821025826,0.38323353293413176,0.3356358256242527,0.09523809523809523,0.8,0.1702127659574468
45,quartile,naive_bayes,youden,full,mother_jones+stanford_msa,kaggle,0.3238095238095238,0.3681865188720562,0.3238095238095238,0.2663400193187428,0.7115384615384616,0.27205882352941174,0.39361702127659576
45,quartile,naive_bayes,youden,full,kaggle+stanford_msa,mother_jones,0.45222929936305734,0.5489453221937298,0.45222929936305734,0.46805961120932693,0.5168539325842697,0.8214285714285714,0.6344827586206897
45,quartile,naive_bayes,youden,full,kaggle+mother_jones,stanford_msa,0.36227544910179643,0.5416762236907661,0.36227544910179643,0.3494597968919203,0.09523809523809523,0.8,0.1702127659574468
45,quartile,naive_bayes,youden_val,full,mother_jones+stanford_msa,kaggle,0.3238095238095238,0.349314244216205,0.3238095238095238,0.2736082009845982,0.7884615384615384,0.2847222222222222,0.41836734693877553
45,quartile,naive_bayes,youden_val,full,kaggle+stanford_msa,mother_jones,0.4713375796178344,0.4959557232082123,0.4713375796178344,0.4442908274516555,0.7303370786516854,0.6310679611650486,0.6770833333333334
45,quartile,naive_bayes,youden_val,full,kaggle+mother_jones,stanford_msa,0.37425149700598803,0.5086201772404271,0.37425149700598803,0.334537785173576,0.11904761904761904,0.7142857142857143,0.20408163265306123
46,rule,decision_tree,default,ctx,mother_jones+stanford_msa,kaggle,0.4095238095238095,0.7359040762631708,0.4095238095238095,0.5003112583214107,0.10526315789473684,0.3333333333333333,0.16
46,rule,decision_tree,default,ctx,kaggle+stanford_msa,mother_jones,0.29936305732484075,0.15311440152204484,0.29936305732484075,0.14860267279698786,0.0,0.0,0.0
46,rule,decision_tree,default,ctx,kaggle+mother_jones,stanford_msa,0.4251497005988024,0.8409836021101863,0.4251497005988024,0.496944283027365,0.06666666666666667,0.14285714285714285,0.09090909090909091
46,rule,decision_tree,youden,ctx,mother_jones+stanford_msa,kaggle,0.30793650793650795,0.7550691638900261,0.30793650793650795,0.3983989251142446,0.21052631578947367,0.0851063829787234,0.12121212121212122
46,rule,decision_tree,youden,ctx,kaggle+stanford_msa,mother_jones,0.09554140127388536,0.07180081065431385,0.09554140127388536,0.026442771665701602,1.0,0.09090909090909091,0.16666666666666666
46,rule,decision_tree,youden,ctx,kaggle+mother_jones,stanford_msa,0.4251497005988024,0.8409836021101863,0.4251497005988024,0.496944283027365,0.06666666666666667,0.14285714285714285,0.09090909090909091
46,rule,decision_tree,youden_val,ctx,mother_jones+stanford_msa,kaggle,0.2634920634920635,0.7498037959322363,0.2634920634920635,0.3470865928536731,0.0,0.0,0.0
46,rule,decision_tree,youden_val,ctx,kaggle+stanford_msa,mother_jones,0.12738853503184713,0.016331863465621425,0.12738853503184713,0.028951939779965255,0.0,0.0,0.0
46,rule,decision_tree,youden_val,ctx,kaggle+mother_jones,stanford_msa,0.3592814371257485,0.8105892948079545,0.3592814371257485,0.46822900104073095,0.06666666666666667,0.14285714285714285,0.09090909090909091
